title,authors,year,abstract,link,index,decision
Preliminary findings on the establishment of a community health centre for urban renewal area II,['EF Gerbasi'],1971,"… H""eal th care ln terms of the World Health Organization definition implies an··_integrated 
health and social service delivery system. The community health centre model outline is based …",https://winnspace.uwinnipeg.ca/bitstream/handle/10680/1077/237-1971-Gerbasi-EstablishmentCommunityHealthCentre-WEB.pdf?sequence=1,0,keep
Integrating care: The architecture of the comprehensive health centre,['J De Syllas'],2015,"… unified administration and a more coherent model of care for the integration of primary, … 
and longer-term plans to provide a neighbourhood health centre for every 20,000 people, a total …",https://www.taylorfrancis.com/books/mono/10.4324/9781315735320/integrating-care-justin-de-syllas,1,discard
Towards Integrated Service Delivery for Primary Health Care: Can Programs Meet People's Lives?,"['V Lin\xa0- Australian Journal of Primary Health', '2000']",2000,"… Nearly 25 years ago, I did a public health internship, working in a neighbourhood health centre in Houston, Texas. I went out one day with the community health educator, with the task …",https://www.publish.csiro.au/PY/PY00033,2,keep
An international comparison of two systems of community mental health care,"['D Tantam', 'BJ Burns\xa0- Psychological Medicine', '1979']",1979,… ment in the neighbourhood health centre and some pre-paid … of community mental health service delivery in the US. The … colleague with a neighbourhood health centre is therefore a …,https://www.cambridge.org/core/journals/psychological-medicine/article/an-international-comparison-of-two-systems-of-community-mental-health-care/4DED2B284D6F2F6753A715AC6028BF37,3,discard
Equitable and healthy city planning: towards healthy urban governance in the century of the city,"['J Corburn\xa0- Healthy cities: the theory', 'policy', 'and practice of value\xa0…', '2017']",2017,"… improvement schemes, such as water service delivery infrastructure, sewage systems, public 
… Era neighbourhood surveys and the neighbourhood health centre movement, twenty-first …",https://link.springer.com/chapter/10.1007/978-1-4939-6694-3_2,4,keep
Urgent care centres for reducing the demand on emergency departments: a scoping review of published quantitative and qualitative studies,"['F Savira', 'M Frith', 'CJ Aditya', 'S Randall…\xa0- Medical Journal of\xa0…', '2025']",2025,"… as a primary care-based facility or model of care for people with low acuity conditions. The 
… visited the emergency room (USA) Neighbourhood health centre; in-person only; standalone …",https://onlinelibrary.wiley.com/doi/abs/10.5694/mja2.52663,5,keep
City Planning as a Structural Determinant of Health: Toward healthy urban governance in the century of the city,"['J Corburn\xa0- Structural Approaches in Public Health', '2013']",2013,"… improvement schemes, such as water service delivery infrastructure, sewage systems, public 
… Era neighbourhood surveys and the neighbourhood health centre movement, twenty-first …",https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9780203558294-10&type=chapterpdf,6,keep
The REACH Centre: Its History and Work III. A Study of the Quality of Paediatric Care,"['RS Tonkin\xa0- Canadian Journal of Public Health/Revue Canadienne\xa0…', '1979']",1979,"… studies suggest that organizational issues, methods of service delivery, and the need to 
identify clearly those in the community responsible for seeing that a patient's immunization status …",https://www.jstor.org/stable/41987779,7,keep
Teledermatology in Belgium: a pilot study,"['J Kips', 'J Lambert', 'K Ongenae', 'A De Sutter…\xa0- Acta Clinica\xa0…', '2020']",2020,"… The setting for the study was a neighbourhood health centre in Ghent and a group practice 
in Merelbeke. The teleconsults were answered by three dermatologists of Ghent University …",https://www.tandfonline.com/doi/abs/10.1080/17843286.2018.1561812,8,keep
Developing World Class Primary Care in Haringey,['G Hughes'],2008,… We have changed that to Neighbourhood Health Centre to … The Neighbourhood Health Centre/ hubs will be developed … believe the best location for these service delivery points is: …,https://www.minutes.haringey.gov.uk/documents/s8487/OVSC_2008.06.02_Agenda%20Item%2008_PCT_Appendix%202.pdf,9,keep
""" NOT FOR CITATION WITHOUT PERMISSION","['J Abelson', 'B Hutchison']",1994,"… which emphasize the coordination of service delivery either within or across organizations. 
A … Attempts to integrate health and social services within a neighbourhood health centre in …",https://www.academia.edu/download/49136299/Primary_Health_Care_Models_A_Review_of_t20160926-27110-18jc5wy.pdf,10,keep
Erosion Control in Inner City Maputo: Sustained Livelihood Impact?,['K Sylvester'],N/A,"… and one of the gullies was approximately 500 metres from the neighbourhood health centre. 
… People were clear that basic service delivery had improved since the erosion control works …",https://assets.publishing.service.gov.uk/media/57a08c26e5274a27b2000ffd/R8257MozambiqueCaseStudy.pdf,11,keep
"Patient satisfaction: a survey of dental outpatients at the Lagos University Teaching Hospital, Nigeria","['OO Orenuga', 'OO Sofola', 'OG Uti']",2009,"… service delivery. This observation is comparable to findings in the present study on access 
to the facility and service delivery. … services at a neighbourhood health centre. J. Public Hlth. …",https://ir.unilag.edu.ng/handle/123456789/10424,12,keep
The 15-minute city—the geographical proximity of services in Krakow,"['A Noworól', 'P Kopyciński', 'P Hałat', 'J Salamon', 'A Hołuj\xa0- Sustainability', '2022']",2022,"… creating an inventory that goes beyond the data available in spatial databases in order to 
apply network analysis and verify the actual time required to reach specific service delivery …",https://www.mdpi.com/2071-1050/14/12/7103,13,keep
